,Date,AAPL,GOOG,MSFT
"2618-1",2015-01-13,110.22,496.18000000000001,46.359999999999999
"2619-1",2015-01-14,109.8,500.87,45.960000000000001
"2620-1",2015-01-15,106.81999999999999,501.79000000000002,45.479999999999997
"2621-1",2015-01-16,105.98999999999999,508.07999999999998,46.240000000000002
"2622-1",2015-01-20,108.72,506.89999999999998,46.390000000000001
"2623-1",2015-01-21,109.55,518.03999999999996,45.920000000000002
"2624-1",2015-01-22,112.40000000000001,534.38999999999999,47.130000000000003
"2625-1",2015-01-23,112.98,539.95000000000005,47.18
"2626-1",2015-01-26,113.09999999999999,535.21000000000004,47.009999999999998
"2627-1",2015-01-27,109.14,518.63,42.659999999999997
"2628-1",2015-01-28,115.31,510,41.189999999999998
"2629-1",2015-01-29,118.90000000000001,510.66000000000003,42.009999999999998
"2630-1",2015-01-30,117.16,534.51999999999998,40.399999999999999
"2631-1",2015-02-02,118.63,528.48000000000002,41.280000000000001
"2632-1",2015-02-03,118.65000000000001,529.24000000000001,41.600000000000001
"2633-1",2015-02-04,119.56,522.75999999999999,41.840000000000003
"2634-1",2015-02-05,119.94,527.58000000000004,42.450000000000003
"2635-1",2015-02-06,118.93000000000001,531,42.409999999999997
"2636-1",2015-02-09,119.72,527.83000000000004,42.359999999999999
"2637-1",2015-02-10,122.02,536.94000000000005,42.600000000000001
"2638-1",2015-02-11,124.88,535.97000000000003,42.380000000000003
"2639-1",2015-02-12,126.45999999999999,542.92999999999995,43.090000000000003
"2640-1",2015-02-13,127.08,549.00999999999999,43.869999999999997
"2641-1",2015-02-17,127.83,542.84000000000003,43.579999999999998
"2642-1",2015-02-18,128.72,539.70000000000005,43.530000000000001
"2643-1",2015-02-19,128.44999999999999,542.87,43.5
"2644-1",2015-02-20,129.5,538.95000000000005,43.859999999999999
"2645-1",2015-02-23,133,531.90999999999997,44.149999999999999
"2646-1",2015-02-24,132.16999999999999,536.09000000000003,44.090000000000003
"2647-1",2015-02-25,128.78999999999999,543.87,43.990000000000002
"2648-1",2015-02-26,130.41999999999999,555.48000000000002,44.060000000000002
"2649-1",2015-02-27,128.46000000000001,558.39999999999998,43.850000000000001
"2650-1",2015-03-02,129.09,571.34000000000003,43.880000000000003
"2651-1",2015-03-03,129.36000000000001,573.63999999999999,43.280000000000001
"2652-1",2015-03-04,128.53999999999999,573.37,43.060000000000002
"2653-1",2015-03-05,126.41,575.33000000000004,43.109999999999999
"2654-1",2015-03-06,126.59999999999999,567.67999999999995,42.359999999999999
"2655-1",2015-03-09,127.14,568.85000000000002,42.850000000000001
"2656-1",2015-03-10,124.51000000000001,555.00999999999999,42.030000000000001
"2657-1",2015-03-11,122.23999999999999,551.17999999999995,41.979999999999997
"2658-1",2015-03-12,124.45,555.50999999999999,41.020000000000003
"2659-1",2015-03-13,123.59,547.32000000000005,41.380000000000003
"2660-1",2015-03-16,124.95,554.50999999999999,41.560000000000002
"2661-1",2015-03-17,127.04000000000001,550.84000000000003,41.700000000000003
"2662-1",2015-03-18,128.47,559.5,42.5
"2663-1",2015-03-19,127.5,557.99000000000001,42.280000000000001
"2664-1",2015-03-20,125.90000000000001,560.36000000000001,42.880000000000003
"2665-1",2015-03-23,127.20999999999999,558.80999999999995,42.859999999999999
"2666-1",2015-03-24,126.69,570.19000000000005,42.899999999999999
